"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",-0.555751653533559,3.29416851543522,-0.168707718178205,0.86602654757873
"activity_ratio",-0.663857791708378,2.4529606118833,-0.270635324714281,0.786671524164986
"active_days",0.102760853684199,0.0417587345934734,2.46082297954163,0.0138618741699748
"median_weekly_devoted_days",-0.550073214268255,0.509904426739374,-1.07877709120068,0.280687109663684
"periodicity",-0.0916912224691653,0.333461789996403,-0.274967703106717,0.783341051404504
"periodicity_variation",-0.178201126774862,0.263763723236372,-0.675608929796487,0.499288970436238
"upper_area",-0.00270156222842859,0.00081779889604355,-3.30345546013641,0.000955011388224238
"upper_n_poly",0.579566369537002,0.435877166159702,1.32965526651298,0.183631879933909
"ratio",8.21596526993126,8.33714782290398,0.985464746991794,0.324395839481754
