"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"634887",0.476190476190476,10,2.5,1,1.7873008824606,1347,2,0.256124721603563,"Control"
"1074893",0.227272727272727,10,1,3,3.83333333333333,1981,2,0.28319030792529,"Control"
"1945007",0.452380952380952,19,2,1,1.93438105484919,839,1,0.264600715137068,"Control"
"1964180",0.369565217391304,17,2,2.5,1.83371208208922,579,1,0.286701208981002,"Control"
"634887",0.384615384615385,10,1,2,2.53859103528797,2059,2,0.298688683827101,"Lockdown"
"1074893",0.340909090909091,15,2,2.5,2.23483903100548,1679,4,0.13579511614056,"Lockdown"
"1945007",0.347826086956522,16,3,2,3.54562104171167,654,1,0.273700305810398,"Lockdown"
"1964180",0.4,10,2,1,2.64575131106459,475,1,0.305263157894737,"Lockdown"
