"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",1454.79733870272,1386494.0393053,0.00104926331989977,0.999162809150453
"activity_ratio",-1560.0149492017,1858734.11013054,-0.000839288922874579,0.999330344405004
"active_days",13.7546191023693,15463.4680754363,0.00088949122119756,0.999290288781223
"median_weekly_devoted_days",-81.2422441560529,93733.3553942013,-0.000866737820430985,0.999308443361401
"periodicity",-69.1001716654913,72549.3899516626,-0.000952456963615141,0.999240049408804
"periodicity_variation",-17.8871859813466,20376.4946174342,-0.000877834304534513,0.999299589651424
"upper_area",0.163860996809039,190.922728951683,0.000858258195390171,0.999315209120786
"upper_n_poly",-162.552949191278,151439.651165319,-0.00107338433455468,0.999143563376109
"ratio",-3105.53427255887,2927431.39055656,-0.00106083930184559,0.999153572858323
