"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",-4.44863742647529,1.04215184844368,-4.26870367607057,1.96612251668483e-05
"activity_ratio",0.394691044988901,1.26610863604055,0.311735528653529,0.755241524519572
"active_days",0.0540604047685419,0.0115821104557869,4.66757807006848,3.04770959480236e-06
"median_weekly_devoted_days",0.352444092285526,0.199110973102436,1.77008874394986,0.0767123583541215
"periodicity",0.160241921852482,0.0757006123970945,2.1167850137317,0.0342780978077631
"periodicity_variation",0.0109120408651058,0.0077438009444994,1.40913240711035,0.158796019864662
"upper_area",-0.000280637519656426,0.000220298819599477,-1.27389479510898,0.202700703272809
"upper_n_poly",0.139126891887732,0.134701658160405,1.03285211026918,0.301673112956364
"ratio",6.45536146950761,2.84556816560644,2.26856680065925,0.0232946824400831
