"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",-1214.02039102989,2916160.50451583,-0.000416307809240923,0.99966783443606
"activity_ratio",2318.11896831239,5540984.73788945,0.000418358663300589,0.999666198091412
"active_days",-1.57187742970974,18258.375574309,-8.60907600083272e-05,0.999931309511846
"median_weekly_devoted_days",-90.7985084214288,232983.297747133,-0.000389721105759162,0.999689047554567
"periodicity",111.882246638992,315666.055713132,0.000354432301522682,0.999717203944686
"periodicity_variation",149.003945635184,318973.687203929,0.000467135540054505,0.999627279778344
"upper_area",-0.138498751848479,312.715072634387,-0.000442891193832557,0.999646623965878
"upper_n_poly",68.3319405236144,139069.581691473,0.000491350730278381,0.999607958854146
