"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",-7.19723749088415,5.93696801979062,-1.2122749300472,0.225407157127606
"activity_ratio",3.19017704452965,5.57718208528723,0.572005180348232,0.567318465104417
"active_days",0.0134201002446709,0.0220313542515361,0.609136419461607,0.542434019301381
"median_weekly_devoted_days",0.0178939804985958,0.995356904724939,0.0179774515188004,0.985656841586
"periodicity",0.0159164081860777,0.281032533165315,0.056635464964887,0.954835582916208
"periodicity_variation",0.0739853329318053,0.0529332304027507,1.3977105188721,0.162200014217873
"upper_area",-7.52663736769922e-05,0.00217982886819157,-0.0345285700062476,0.97245566035609
"upper_n_poly",0.506010574172871,1.33585996627161,0.378790132909777,0.704843715141299
"ratio",15.8230244120458,17.5841673125737,0.899844964551231,0.368202761741774
