"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",2.60340471651489,4.14790618763553,0.627643104435525,0.530237764736003
"activity_ratio",-0.0985632371916955,5.24137020151754,-0.0188048608287883,0.984996776128857
"active_days",0.0589283381619126,0.058239850238404,1.01182159501939,0.311623362688618
"median_weekly_devoted_days",-0.224985412181863,0.630203252511814,-0.357004523993067,0.721088418959187
"periodicity",0.250050783515983,0.31174483831738,0.80210079777299,0.422494653558891
"periodicity_variation",-0.0112350472883714,0.0425686380485016,-0.26392780702945,0.791835548207797
"upper_area",0.000392001606438463,0.00034174100234379,1.14707220892421,0.251351778636161
"upper_n_poly",-1.18031310119382,0.584856179971553,-2.01812538127105,0.0435782049132902
"ratio",-5.83664258844037,11.3211104304772,-0.515553895908276,0.606166017853991
