"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",-8.69709646427745,9.34862325463449,-0.93030772846322,0.352211777464349
"activity_ratio",-4.17125073993678,12.7382598210116,-0.327458443974925,0.743321168780563
"active_days",0.351153858659481,0.188958382514167,1.85836613325769,0.0631170382147753
"median_weekly_devoted_days",-0.502371212759518,0.986328555109839,-0.509334552018088,0.610517742926417
"periodicity",0.907824781868633,1.51804069082116,0.598024010395638,0.549823912305733
"periodicity_variation",0.876566205538175,0.999802066308351,0.876739741871899,0.380628015372936
"upper_area",0.00253124931064992,0.00130945982190082,1.93304847412236,0.0532302266043159
"upper_n_poly",-0.828510194767999,0.723334538129648,-1.14540389141421,0.252041887092573
"ratio",-1.75985356914135,12.0732388287924,-0.145764826994429,0.884107043265771
