"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",-694.163619684156,1703695.83850553,-0.0004074457447129,0.999674905339924
"activity_ratio",124.62909293234,2695454.8752831,4.62367573188368e-05,0.999963108405207
"active_days",1.63236231066158,23324.1669807068,6.99858782528794e-05,0.999944159348313
"median_weekly_devoted_days",80.3339988475721,151967.684040744,0.000528625538743052,0.999578217863835
"periodicity",127.773124194188,219009.877524492,0.000583412609688799,0.999534504112558
"periodicity_variation",1.14926747050428,16287.1440993708,7.05628600994989e-05,0.999943698983407
"upper_area",-0.0430623293712422,185.837164749198,-0.000231720761718241,0.999815113583462
"upper_n_poly",11.1628482653603,151059.366951705,7.38970941731082e-05,0.999941038649525
"ratio",554.599659957054,1966700.74137539,0.000281994941217747,0.99977500059316
