"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",-0.735301531546102,0.459746139092394,-1.59936423391765,0.109739694557426
"activity_ratio",-0.138563682989069,1.159506037612,-0.119502338491001,0.904877387466083
"active_days",0.00826128033881546,0.00303510638955196,2.72190799217255,0.00649062106130599
"median_weekly_devoted_days",-0.0954467357303849,0.144376390613689,-0.661096563812667,0.508550388793616
"periodicity",0.0161169747194516,0.0210427514112945,0.765915749534587,0.443726434058751
"periodicity_variation",0.0110577684538852,0.0045182644524361,2.44734866015274,0.0143911548733663
"upper_area",-0.000162268394096262,8.69219247764276e-05,-1.86682927827052,0.0619254324672368
"upper_n_poly",0.0664442872329384,0.0579760342389896,1.1460647163109,0.251768375500921
"ratio",1.2735469416162,1.38853669642024,0.917186376780322,0.359044984325723
