"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",-9127.73079781547,260205396.545235,-3.50789450142271e-05,0.99997201105137
"activity_ratio",4202.81841835764,245092913.879127,1.71478577321511e-05,0.999986317989065
"active_days",8.91541331140248,4702008.47643182,1.89608618446559e-06,0.999998487142107
"median_weekly_devoted_days",321.397473742825,18102138.5853899,1.7754668721972e-05,0.999985833823945
"periodicity",27.7470732457306,3331812.23346214,8.32792225415961e-06,0.99999335527941
"periodicity_variation",956.750386932891,14041074.8591188,6.81393979116595e-05,0.999945632626466
"upper_area",0.417238776902932,17483.2689607092,2.38650322111162e-05,0.999980958459257
"upper_n_poly",724.29677276575,18052161.4794801,4.01224403841644e-05,0.999967986924284
"ratio",9815.62716802874,498783098.247867,1.96791495191181e-05,0.99998429831043
