"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",1.66154025357084,2.45559578181971,0.67663426768862,0.49863803145725
"activity_ratio",-22.127855181136,8.50909759201991,-2.600493758808,0.00930897123279631
"active_days",0.229680488476606,0.100281595710961,2.29035534235623,0.0220007260728227
"median_weekly_devoted_days",0.39355158680688,0.443425427045043,0.88752598025215,0.374795785106338
"periodicity",-0.593720830713684,0.258127802169158,-2.30010415664022,0.0214423198519594
"periodicity_variation",0.0631869506427285,0.183545194047605,0.34425826821889,0.730652065444941
"upper_area",0.000746214286944606,0.000466473629126085,1.59969233060956,0.109666854091688
"upper_n_poly",-0.426229199979172,0.347288856221678,-1.22730456892952,0.21970813901065
"ratio",3.1029430487584,6.36230338616329,0.487707495292769,0.625757041952918
