"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",1607.62784351703,6238264.71245527,0.000257704332473621,0.999794381694143
"activity_ratio",299412.425564284,1108522322.3261,0.000270100492821835,0.999784490989533
"active_days",-693.172108473932,2574264.34939223,-0.000269269979455523,0.999785153643301
"median_weekly_devoted_days",-545.451242374748,1873558.23932353,-0.000291131191401709,0.999767710920494
"periodicity",-164.049397065384,650675.821482941,-0.000252121550623323,0.999798836109443
"periodicity_variation",382.180393642398,1498730.38468869,0.000255002766039059,0.999796537232221
"upper_area",-4.20816913052527,15966.3735800679,-0.000263564491299306,0.999789705964051
"upper_n_poly",952.469201788203,3468574.13284549,0.00027459963815357,0.999780901191069
