"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"797928",0.0737913486005089,29,2,2,1.85668883965339,919,1,0.297062023939064,"Control"
"1101333",0.030379746835443,12,1,6,4.44222166638871,839,1,0.33849821215733,"Control"
"2399135",0.0868421052631579,33,4,1,1.19856545077227,1135,2,0.255506607929515,"Control"
"2420214",0.0306122448979592,12,1,5.5,7.75241897732572,1402,2,0.22753209700428,"Control"
"797928",0.0551378446115288,22,2,2.5,3.26222397501427,1294,3,0.230293663060278,"Lockdown"
"1101333",0.0392670157068063,15,1,6,3.19253937991494,852,1,0.339201877934272,"Lockdown"
"2399135",0.166666666666667,67,4.5,1,0.950202407587255,1115,2,0.250224215246637,"Lockdown"
"2420214",0.0522388059701493,21,1,3,3.2632993744089,910,1,0.221978021978022,"Lockdown"
