"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",-320.496216186523,631605.256449066,-0.000507431204718558,0.99959512849346
"activity_ratio",-310986.408343674,741478859.065337,-0.000419413722375962,0.999665356276138
"active_days",882.48857115527,2050223.37875236,0.000430435327340916,0.999656562308496
"median_weekly_devoted_days",-204.102999390318,588565.778220549,-0.000346780269840691,0.999723309382249
