"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",685.592558129329,13926794.565446,4.9228309853178e-05,0.99996072149163
"activity_ratio",-923.68790100419,24076962.4141823,-3.83639715473452e-05,0.999969389979419
"active_days",3.86644987022137,96023.5259129644,4.02656519166555e-05,0.999967872658014
"median_weekly_devoted_days",-4.1533322547909,532799.645419666,-7.79529845880335e-06,0.999993780251713
"periodicity_variation",-113.210367423239,2209152.18672142,-5.12460699193628e-05,0.999959111552027
"upper_area",-0.0306931081899897,210.428420275421,-0.000145860089382493,0.999883620487057
