"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",3802.47294063831,2678788.66331892,0.00141947477705359,0.99886742337128
"activity_ratio",-1330.55639114687,1637344.34841179,-0.000812630765444971,0.99935161452998
"active_days",-120.898010482368,107481.571967958,-0.00112482547723074,0.999102519307373
"median_weekly_devoted_days",375.942447467704,354032.254791112,0.00106188756075211,0.999152736469197
"periodicity",414.027392564744,401173.268673245,0.00103204132701566,0.999176550305241
"periodicity_variation",-224.475546774172,167395.10629107,-0.00134099228912851,0.998930043277026
"upper_area",-0.396362387190061,326.352255846726,-0.0012145232033457,0.999030950925549
"upper_n_poly",248.193651881026,221875.21790471,0.00111861817748217,0.999107472012891
"ratio",-7822.14561849519,5496253.29556541,-0.00142317779000586,0.998864468797401
