"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",439.144696251937,3413406.49111527,0.00012865291531934,0.999897349825448
"activity_ratio",-320.486922629628,2904824.33867676,-0.000110329192151984,0.999911970041155
"active_days",-1.36379152001656,17680.2712548604,-7.71363459506682e-05,0.99993845410055
"median_weekly_devoted_days",17.1081190628152,243709.931269212,7.01986947093958e-05,0.999943989545349
"periodicity",10.8237268952347,79857.3571103827,0.000135538255796189,0.999891856118633
"periodicity_variation",-31.9868706581439,114241.825070143,-0.000279992644011985,0.999776598195123
"upper_area",0.00801440371535409,467.527650788613,1.71420956639369e-05,0.999986322586531
"upper_n_poly",-4.56490852287508,643179.882454736,-7.09740563627832e-06,0.999994337089621
"ratio",-871.159582889331,10686633.072505,-8.15186202219935e-05,0.999934957551579
