"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",-1.33610865041897,0.351249774954262,-3.80387048103577,0.000142452681649836
"activity_ratio",-0.0834990394448441,0.421241081202288,-0.198221501109352,0.842871765790693
"active_days",0.0073654008789732,0.00217463499264624,3.38695960649952,0.000706717922327294
"median_weekly_devoted_days",0.179499905522722,0.0701805255334838,2.55768824981342,0.0105370508460412
"periodicity",0.0328513506095868,0.0185215440958995,1.7736831464748,0.07611557571535
"periodicity_variation",0.0101499461213243,0.00302774515282118,3.35231190507129,0.000801396767317271
"upper_area",-0.000142038680347319,6.44988320845405e-05,-2.20218995843436,0.0276518930758661
"upper_n_poly",0.0381757318025031,0.045185433524081,0.844868109590181,0.398184481610524
"ratio",2.1344284280274,1.05969201510855,2.01419695307297,0.0439888594703925
