"2989",0.0194174757281553,6,1,NA,NA,1027,2,0.211295034079844,2015
"2989",0.0618556701030928,6,1,NA,NA,1504,3,0.283909574468085,2016
"2989",0.0629370629370629,9,1,NA,NA,1134,2,0.296296296296296,2017
"2989",0.11063829787234,26,1,5,10.0618089824842,638,1,0.261755485893417,2018
"2989",0.096045197740113,34,1,6,14.1387871838536,667,1,0.232383808095952,2019
"2989",0.0927536231884058,32,1,6,13.184219958495,490,1,0.304081632653061,2020
"2989",0.113475177304965,32,1,6,8.7290147740012,772,2,0.22020725388601,2021
"3462",0.127272727272727,42,1,5,6.72118964498863,827,2,0.226118500604595,2015
"3462",0.186629526462396,67,1.5,4.5,4.49635957383853,1861,2,0.287479849543256,2016
"3462",0.145299145299145,51,1,3,9.20957797787783,1053,1,0.302943969610636,2017
"3462",0.126126126126126,42,1,6,7.60198947002948,1021,1,0.285994123408423,2018
"3462",0.100946372239748,32,1,5,13.4620933360769,2903,7,0.201171202204616,2019
"3462",0.179558011049724,65,2,3,6.63652038177973,1043,2,0.206136145733461,2020
"3462",0.162055335968379,41,2,5,5.39325314510449,962,1,0.27962577962578,2021
"3785",0.0414364640883978,15,3,1,91.3018481331428,574,1,0.294425087108014,2015
"3785",0.0166204986149584,6,1,NA,NA,483,1,0.304347826086957,2016
"3785",0.0575342465753425,21,3,1,59.2022403559012,495,1,0.294949494949495,2017
"3785",0.0332409972299169,12,2,2,101.92555215361,487,1,0.301848049281314,2018
"3785",0.0523415977961433,19,3,1,79.3368758477484,576,1,0.293402777777778,2019
"3785",0.571428571428571,4,2,NA,NA,563,1,0.293072824156306,2020
"3785",0.5,10,2.5,2,1.05409255338946,648,1,0.324074074074074,2021
"9379",0.0642458100558659,23,1,15,16.1979769994422,6358,10,0.274771940861906,2015
"9379",0.0396039603960396,12,1,14,28.0369885557049,3592,7,0.214086859688196,2016
"9379",0.025531914893617,6,1,NA,NA,2306,3,0.309627059843885,2017
"9379",0.037037037037037,5,1,NA,NA,2326,5,0.295786758383491,2018
"9379",0.0198019801980198,4,1,NA,NA,NA,NA,NA,2019
"9379",0.0662983425414365,12,1,10,13.1929733363842,3879,8,0.28692962103635,2020
"9379",0.0497512437810945,10,1,20,23.7685599993867,3972,7,0.314954682779456,2021
"15211",0.0416666666666667,3,1.5,NA,NA,NA,NA,NA,2015
"15211",0.117117117117117,26,1,5,10.0609807341697,3792,8,0.145569620253165,2016
"15211",0.0897435897435897,21,1,4,16.3940778781145,2916,7,0.172153635116598,2017
"15211",0.152046783625731,26,1,4,6.62696511735701,3714,7,0.263058696822833,2018
"15211",0.103448275862069,21,1,5.5,15.224288074272,3268,6,0.260709914320685,2019
"15211",0.0982905982905983,23,1,7,12.8680449209109,3092,7,0.207956015523933,2020
"15211",0.0974576271186441,23,1,4,12.2528378195435,3368,8,0.167755344418052,2021
"17565",0.019672131147541,6,1,NA,NA,517,1,0.297872340425532,2015
"17565",1,1,1,NA,NA,NA,NA,NA,2016
"17565",1,1,1,NA,NA,NA,NA,NA,2017
"17565",0.074468085106383,7,1,NA,NA,585,1,0.294017094017094,2018
"17565",0.178832116788321,49,1,4,5.21518343856401,3786,4,0.162440570522979,2019
"17565",0.204968944099379,66,1,3,4.80844609475388,2091,3,0.214251554280249,2020
"17565",0.204633204633205,53,1,4,4.05821142126284,2953,6,0.109380291229258,2021
"29876",0.0588235294117647,8,1,NA,NA,1322,3,0.196671709531014,2016
"29876",1,1,1,NA,NA,NA,NA,NA,2017
"29876",1,1,1,NA,NA,NA,NA,NA,2018
"29876",1,1,1,NA,NA,NA,NA,NA,2019
"29876",0.0425531914893617,8,1,NA,NA,1924,3,0.303534303534304,2020
"29876",0.132352941176471,27,1,3.5,12.3321343838582,1344,5,0.1875,2021
"30467",1,1,1,NA,NA,NA,NA,NA,2015
"30467",0.227272727272727,35,2,2,6.8677992593455,4157,8,0.235987490979071,2016
"30467",0.75,3,1.5,NA,NA,597,1,0.319932998324958,2017
"30467",0.214912280701754,49,1.5,3,6.8065662394214,2094,4,0.203438395415473,2018
"30467",0.138888888888889,40,1,4,8.63739476891395,5235,9,0.271251193887297,2019
"30467",0.294871794871795,23,2,2,4.54344111251121,2462,3,0.292445166531275,2020
"30467",0.273381294964029,76,2,2,3.94890793433753,14144,14,0.245121606334842,2021
"30631",0.0490196078431373,5,1,NA,NA,945,2,0.305820105820106,2016
"30631",1,1,1,NA,NA,NA,NA,NA,2017
"30631",0.1,7,1.5,NA,NA,969,2,0.304437564499484,2018
"30631",0.0506912442396313,11,1,10,25.1581663348769,2566,2,0.301636788776306,2019
"30631",0.0586080586080586,16,1,10,21.6526694714092,2027,3,0.295510606808091,2020
"30631",0.139784946236559,13,1,5,6.31496539014965,1968,5,0.250508130081301,2021
"39669",0.079646017699115,27,1,5,17.6748408762286,2368,2,0.295185810810811,2015
"39669",0.102484472049689,33,1,2,17.5342694412602,2931,2,0.115319003752985,2016
"39669",0.0469798657718121,14,1,19,16.9452360751046,3662,3,0.312124522119061,2017
"39669",0.072463768115942,25,1,10.5,14.866556183381,2282,2,0.218667835232252,2018
"39669",0.0327272727272727,9,1,NA,NA,2100,4,0.275714285714286,2019
"39669",0.0484429065743945,14,1,14,23.5543561216963,1719,3,0.219313554392088,2020
"39669",0.113989637305699,22,1,4,13.4286474161984,2387,4,0.210724759111856,2021
"51500",0.3125,5,2,NA,NA,1715,4,0.244897959183673,2015
"51500",0.333333333333333,4,2,NA,NA,1531,3,0.237753102547355,2016
