"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",-6.96496298552318,4.71212068478839,-1.47809520414182,0.1393822975827
"activity_ratio",11.5288694435735,10.4717905251131,1.10094538426121,0.270920428017234
"active_days",0.0524273485482327,0.10956070621139,0.47852328048231,0.632277808535374
"median_weekly_devoted_days",-1.25786219619915,1.16626996323486,-1.07853433240297,0.280795368817363
"periodicity",0.273474292763848,0.58320732912288,0.468914362196274,0.639130849965076
"periodicity_variation",0.971702713035795,0.68892657479059,1.41045903669946,0.158404183783383
"upper_area",-0.00323758962513555,0.00118160151182816,-2.74000125484469,0.00614389498018231
"upper_n_poly",0.755945839990436,0.642879688463864,1.17587451206732,0.239645025331598
"ratio",14.2431636164573,10.4033098159662,1.36909924518426,0.170968254244377
