"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",0.225887603164822,0.715862490099688,0.315546080830923,0.752347069247331
"activity_ratio",-0.026098448106461,0.750242976896858,-0.0347866610020248,0.97224985717325
"active_days",0.0263335357572627,0.00491477630575567,5.35803343204525,8.41326748528343e-08
"median_weekly_devoted_days",-0.151825923124165,0.125949427850706,-1.20545147139638,0.228029061465288
"periodicity",-0.000269680554361828,0.0368532241230789,-0.00731769229908283,0.994161378402258
"periodicity_variation",0.00252979568977478,0.00435177756268489,0.581324677866575,0.561021651523866
"upper_area",-0.000804926976062669,0.000208920334987039,-3.85279382264347,0.00011677771695248
"upper_n_poly",-0.162122981831527,0.124314368978746,-1.30413710951825,0.192186838122496
"ratio",2.5128747988687,2.11352469558085,1.18894981644778,0.234459415189041
