"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"2489070",0.583333333333333,28,4,1,1.02253804114275,683,1,0.232796486090776,"Lockdown"
"169494",0.268292682926829,11,2,2.5,4.29469957557504,1371,2,0.260393873085339,"Lockdown"
"2052606",0.428571428571429,21,2,1,2.32605380758689,509,1,0.304518664047151,"Lockdown"
"1437864",0.754716981132076,40,5,1,0.868553950490285,830,2,0.220481927710843,"Lockdown"
"1641897",0.520833333333333,25,2.5,1,1.96666052565978,472,1,0.305084745762712,"Lockdown"
"548902",0.529411764705882,27,3.5,2,1.29377206410022,474,1,0.305907172995781,"Lockdown"
"1474212",0.326530612244898,16,2,3,1.78085051911399,499,1,0.304609218436874,"Lockdown"
"2527017",0.764705882352941,39,5,1,0.574468645576995,1306,5,0.145482388973966,"Lockdown"
"910728",0.415094339622642,22,3,1,4.00773062491789,478,1,0.305439330543933,"Lockdown"
"688548",0.431372549019608,22,2,1,2.29076822215148,1788,3,0.267897091722595,"Lockdown"
"1164493",0.72,36,4.5,1,0.735646974158282,1039,2,0.190567853705486,"Lockdown"
"330624",0.4,20,2,2,2.06332497234936,473,1,0.304439746300211,"Lockdown"
"3475604",0.5625,9,4,NA,NA,481,1,0.303534303534304,"Lockdown"
"4303576",0.85,34,6,1,0.39167472590032,470,1,0.306382978723404,"Lockdown"
"39349",0.641509433962264,34,4.5,1,1.06155260792574,504,1,0.301587301587302,"Lockdown"
"678636",0.843137254901961,43,5.5,1,0.454682694939907,506,1,0.294466403162055,"Lockdown"
"1168016",0.72,36,4.5,1,0.694516336148021,476,1,0.304621848739496,"Lockdown"
"4015844",0.826923076923077,43,5.5,1,0.606296807525267,473,1,0.304439746300211,"Lockdown"
"1978464",1,2,2,NA,NA,470,1,0.304255319148936,"Lockdown"
"3910284",0.30952380952381,13,2,2.5,3.26018218490744,548,1,0.281021897810219,"Lockdown"
"2433428",0.41304347826087,19,1.5,1.5,2.8127859331777,485,1,0.301030927835052,"Lockdown"
"1936760",0.56,28,3.5,1,1.77670908048987,482,1,0.302904564315353,"Lockdown"
"2568932",0.867924528301887,46,6,1,0.366528899738389,482,1,0.300829875518672,"Lockdown"
"762037",0.68,34,4,1,0.972150069472691,995,1,0.343718592964824,"Lockdown"
"2297663",0.9,45,6,1,0.32103822064055,477,1,0.306079664570231,"Lockdown"
"171012",0.980769230769231,51,7,1,0.14142135623731,985,1,0.347208121827411,"Lockdown"
"1342851",0.830188679245283,44,5.5,1,0.514464100968123,498,1,0.295180722891566,"Lockdown"
